Case-Acc #,Avian influenza virus isolate,Hemagglutinin gene,Matrix gene,Neuraminidase gene,Nucleocapsid protein gene,Nuclear export protein and nonstructural protein 1 genes,Polymerase PA and PA-X protein genes,Polymerase PB1 and PB1-F2 protein genes,Polymerase PB2 gene
CDX16-1853,A/lesser black-backed gull/Iceland/1853/2012(H2N7),MZ565634,MZ565635,MZ565636,MZ565637,MZ565638,MZ565639,MZ565640,MZ565641
CDX16-1876,A/lesser black-backed gull/Iceland/1876/2012(H2N7),MZ565642,MZ565643,MZ565644,MZ565645,MZ565646,MZ565647,MZ565648,MZ565649
CDX16-1946,A/ruddy turnstone/Iceland/1946/2012(H2N7),KM213380,KM213383,KM213382,KM213381,KM213384,KM213379,KM213378,KM213377
CDX16-1839,A/lesser black-backed gull/Iceland/1839/2012(H2N7),MZ565626,MZ565627,MZ565628,MZ565629,MZ565630,MZ565631,MZ565632,MZ565633
CDX16-1656,A/lesser black-backed gull/Iceland/1656/2012(H2N7),MZ565610,MZ565611,MZ565612,MZ565613,MZ565614,MZ565615,MZ565616,MZ565617
CDX16-2177,A/herring gull/Iceland/2177/2012(H6N7),MZ565546,MZ565547,MZ565548,MZ565549,MZ565550,MZ565551,MZ565552,MZ565553
CDX16-2120,A/herring gull/Iceland/2120/2012(H16N3),MZ565530,MZ565531,MZ565532,MZ565533,MZ565534,MZ565535,MZ565536,MZ565537
CDX16-2173,A/herring gull/Iceland/2173/2012(H16N3),MZ565538,MZ565539,MZ565540,MZ565541,MZ565542,MZ565543,MZ565544,MZ565545
CDX16-2207,A/herring gull/Iceland/2207/2012(H16N3),MZ565554,MZ565555,MZ565556,MZ565557,MZ565558,MZ565559,MZ565560,MZ565561
CDX16-2226,A/herring gull/Iceland/2226/2012(H16N3),MZ565562,MZ565563,MZ565564,MZ565565,MZ565566,MZ565567,MZ565568,MZ565569
CDX16-2297,A/glaucous gull xherring gull/Iceland/2297/2012(H16N3),MZ565501,MZ565502,MZ565503,MZ565504,MZ565505,MZ565506,MZ565507,MZ565508
CDX16-2442,A/glaucous gull xherring gull/Iceland/2442/2012(H16N3),MZ565509,MZ565510,MZ565511,MZ565512,MZ565513,MZ565514,MZ565515,MZ565516
