Case-Acc #,Band No. ,Species,Scientific Name,Order,Family,Capture Status,Age,Sex,Location,Region,Date Collected,Season,Year,Sample 1,Result,Ct,PCR Date,Final HA Result,MA PCR of Egg Fluid
CDX16-3746,-,Razorbill,Alca torda,Charadriiformes,Alcidae,N,U,U,Faxafloi,West,9/17/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3747,-,Razorbill,Alca torda,Charadriiformes,Alcidae,N,U,U,Faxafloi,West,9/17/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3748,-,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,U,U,Faxafloi,West,9/17/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3749,-,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,U,U,Faxafloi,West,9/17/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3750,-,Common Murre,Uria aalge,Charadriiformes,Alcidae,N,U,U,Faxafloi,West,9/17/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3782,272351,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,1CY,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,34.58,9/8/2015,P,16.41
CDX16-3765,272334,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,F,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,39.96,9/8/2015,N,
CDX16-3751,272321,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3752,272322,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3753,272323,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3754,-,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3755,272324,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3756,272325,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3757,272326,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3758,272327,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3759,272328,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3760,272329,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,F,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3761,272330,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3762,272331,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3763,272332,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,1CY,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3764,272333,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3766,272335,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,F,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3767,272336,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3768,272337,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3769,272338,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3770,272339,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3771,272340,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3772,272341,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3773,272342,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3774,272343,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,F,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3775,272344,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,F,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3776,272345,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3777,272346,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3778,272347,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3779,272348,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3780,272349,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,F,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3781,272350,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3783,272352,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,F,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3784,272353,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3785,272354,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3786,272355,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,M,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3787,272356,Mallard,Anas platyrhynchos,Anseriformes,Anatidae,N,2CY+,F,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3788,-,Black-headed Gull,Chroicocephalus ridibundus,Charadriiformes,Laridae,N,2CY+,U,Seltjarnarnes,Southwest,9/18/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3816,272379,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,21.69,9/8/2015,P,15.46
CDX16-3817,272380,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,29.11,9/8/2015,P,15.07
CDX16-3819,272382,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,25.75,9/8/2015,P,18.5
CDX16-3823,272386,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,29.75,9/8/2015,P,15.34
CDX16-3831,272394,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,39.56,10/2/2015,P,15.35
CDX16-3833,272396,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,39.48,10/2/2015,P,17.71
CDX16-3818,272381,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,2CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,33.69,9/8/2015,N,
CDX16-3821,272384,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,36.43,9/8/2015,N,
CDX16-3824,272387,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,36.68,9/8/2015,N,
CDX16-3826,272389,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,37.71,9/8/2015,N,
CDX16-3829,272392,Glaucous Gull X Herring Gull hybrid,Larus hyperboreus x L. argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,37.88,10/2/2015,N,
CDX16-3820,272383,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,38.66,9/8/2015,N,
CDX16-3827,272390,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,38.9,10/2/2015,N,
CDX16-3825,272388,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,39.05,9/8/2015,N,
CDX16-3822,272385,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,2CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,39.07,9/8/2015,N,
CDX16-3828,272391,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,39.34,10/2/2015,N,
CDX16-3838,271813,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,40.3,10/2/2015,N,
CDX16-3806,272372,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,40.39,9/8/2015,N,
CDX16-3834,272397,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,40.85,10/2/2015,N,
CDX16-3789,342022,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3790,272357,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3791,272358,Glaucous Gull,Larus hyperboreus,Charadriiformes,Laridae,N,4CY+,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3792,272359,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3793,272360,Glaucous Gull X Herring Gull hybrid,Larus hyperboreus x L. argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3794,272361,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3795,272362,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3796,272363,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3797,342023,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3798,272364,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3799,272365,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3800,272366,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3801,272367,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3802,272368,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3803,272369,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3804,272370,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3805,272371,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3807,272373,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3808,272374,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,2CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3809,272375,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3810,272376,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3811,342024,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3813,342025,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3814,272377,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3815,272378,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3830,272393,Gull sp.,Larus sp.,Charadriiformes,Laridae,N,U,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3832,272395,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3835,272398,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3836,272399,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3837,272400,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3839,271814,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3840,271815,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3841,342026,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,1CY,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3812,271798,Herring Gull,Larus argentatus,Charadriiformes,Laridae,R,4CY+,U,Hofn,East,9/21/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,9/8/2015,,
CDX16-3850,271821,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,31.95,10/2/2015,P,15.74
CDX16-3863,271833,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,36.42,10/2/2015,P,14.86
CDX16-3894,271863,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,24.28,10/2/2015,P,16.42
CDX16-3899,342031,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,40.54,10/2/2015,P,14.39
CDX16-3895,271864,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,33.69,10/2/2015,N,
CDX16-3893,271862,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,33.84,10/2/2015,N,
CDX16-3897,271866,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,2CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,34.45,10/2/2015,N,
CDX16-3898,271867,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,2CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,34.78,10/2/2015,N,
CDX16-3902,271870,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,38.04,10/13/2015,N,
CDX16-3901,271869,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,2CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,38.48,10/2/2015,N,
CDX16-3896,271865,Glaucous Gull,Larus hyperboreus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,38.73,10/2/2015,N,
CDX16-3864,271834,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,38.96,10/2/2015,N,
CDX16-3849,342029,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,39.54,10/2/2015,N,
CDX16-3865,271835,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,2CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,40.49,10/2/2015,N,
CDX16-3872,271842,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,40.55,10/2/2015,N,
CDX16-3900,271868,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,40.59,10/2/2015,N,
CDX16-3856,271826,Glaucous Gull X Herring Gull hybrid,Larus hyperboreus x L. argentatus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,P,41.09,10/2/2015,N,
CDX16-3842,271816,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3843,271817,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3844,342027,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3845,271818,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3846,271819,Glaucous Gull,Larus hyperboreus,Charadriiformes,Laridae,N,4CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3847,271820,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3848,342028,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3851,271822,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,2CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3852,271823,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3853,271824,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,1CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3854,271825,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3857,271827,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3858,271828,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3859,271829,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3860,271830,Great Black-backed Gull,Larus marinus,Charadriiformes,Laridae,N,2CY,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
CDX16-3861,271831,Herring Gull,Larus argentatus,Charadriiformes,Laridae,N,4CY+,U,Sandgerdi,Southwest,9/23/2014,Autumn,2014,Oral/Cloacal Combined Swab,N,No Ct,10/2/2015,,
