Sewershed_ID,State/Territory,Counties_Served,Detection_Category,Date_the_Site_Began_Sampling_Data,Population_Served,date_updated
"ID:700","Maine","Cumberland","No Detection","2024-05-20","65000","2025-09-25T06:55:24.813712Z"
"ID:1017","Minnesota","Olmsted","No Detection","2024-05-17","120000","2025-09-25T06:55:24.813712Z"
"ID:1730","Oregon","Jackson","No Detection","2022-03-07","133708","2025-09-25T06:55:24.813712Z"
"ID:140","California","Sacramento","No Detection","2024-05-20","1480000","2025-09-25T06:55:24.813712Z"
"ID:178","California","Santa Cruz","No Detection","2024-09-09","94000","2025-09-25T06:55:24.813712Z"
"ID:2440","Maryland","Montgomery","No Detection","2025-02-13","5354","2025-09-25T06:55:24.813712Z"
"ID:358","Hawaii","Honolulu","No Detection","2024-09-09","101000","2025-09-25T06:55:24.813712Z"
"ID:1701","Oklahoma","Garfield","No Detection","2024-09-10","50350","2025-09-25T06:55:24.813712Z"
"ID:2410","Texas","Hidalgo","No Detection","2024-12-03","16782","2025-09-25T06:55:24.813712Z"
"ID:1843","Texas","Andrews","No Detection","2024-08-06","13502","2025-09-25T06:55:24.813712Z"
"ID:2346","California","El Dorado","No Detection","2025-06-17","125000","2025-09-25T06:55:24.813712Z"
"ID:556","Kansas","Wyandotte","No Detection","2024-05-21","90000","2025-09-25T06:55:24.813712Z"
"ID:1736","Oregon","Lincoln","No Detection","2022-06-23","10400","2025-09-25T06:55:24.813712Z"
"ID:1832","South Dakota","Yankton","No Detection","2024-05-16","20000","2025-09-25T06:55:24.813712Z"
"ID:2087","West Virginia","Ohio","No Detection","2024-05-17","100000","2025-09-25T06:55:24.813712Z"
"ID:154","California","San Francisco","No Detection","2024-11-26","4416","2025-09-25T06:55:24.813712Z"
"ID:2003","Virginia","Harrisonburg City, Rockingham","No Detection","2025-07-28","81000","2025-09-25T06:55:24.813712Z"
"ID:172","California","Santa Barbara","No Detection","2024-11-21","77600","2025-09-25T06:55:24.813712Z"
"ID:193","California","Yolo","No Detection","2024-05-17","68000","2025-09-25T06:55:24.813712Z"
"ID:1310","New York","Kings, New York, Queens","No Detection","2025-07-06","1227810","2025-09-25T06:55:24.813712Z"
"ID:554","Kansas","Shawnee","No Detection","2024-09-09","95000","2025-09-25T06:55:24.813712Z"
"ID:1847","Texas","Cooke","No Detection","2024-05-20","17300","2025-09-25T06:55:24.813712Z"
"ID:199","Colorado","Denver","No Detection","2024-07-11","709904","2025-09-25T06:55:24.813712Z"
"ID:1804","Rhode Island","Bristol","No Detection","2024-09-12","21100","2025-09-25T06:55:24.813712Z"
"ID:128","California","Monterey","No Detection","2024-09-10","16000","2025-09-25T06:55:24.813712Z"
"ID:1183","New Hampshire","Cumberland, Oxford, Belknap, Carroll","No Detection","2024-09-09","6500","2025-09-25T06:55:24.813712Z"
"ID:1211","New Jersey","Hunterdon","No Detection","2025-01-28","9440","2025-09-25T06:55:24.813712Z"
"ID:313","Florida","Orange","No Detection","2024-05-16","277823","2025-09-25T06:55:24.813712Z"
"ID:314","Florida","Orange","No Detection","2024-05-16","66690","2025-09-25T06:55:24.813712Z"
"ID:215","Colorado","Douglas","No Detection","2024-05-21","25000","2025-09-25T06:55:24.813712Z"
"ID:1312","New York","Kings","No Detection","2025-07-06","257556","2025-09-25T06:55:24.813712Z"
