"County","State","Outbreak Date","Flock Type","Flock Size"
"Mendocino","California","12-19-2022","WOAH Non-Poultry","20"
"Rooks","Kansas","12-18-2024","Commercial Raised for Release Upland Game Bird","5300"
"Nelson","North Dakota","12-18-2024","WOAH Non-Poultry","60"
"Doniphan","Kansas","12-18-2024","Commercial Raised for Release Upland Game Bird","5700"
"Jefferson Davis","Louisiana","12-18-2024","WOAH Non-Poultry","30"
"Howard","Missouri","12-18-2024","WOAH Non-Poultry","60"
"Sonoma","California","12-18-2023","Commercial Table Egg Layer","497700"
"Sonoma","California","12-18-2023","WOAH Poultry","38100"
"Edmunds","South Dakota","12-18-2023","Commercial Upland Gamebird Producer","1000"
"Rice","Kansas","12-18-2023","WOAH Non-Poultry","100"
"O'brien","Iowa","12-17-2024","Commercial Table Egg Layer","351400"
"Worth","Iowa","12-17-2024","Commercial Turkey Meat Bird","19500"
"Lemhi","Idaho","12-17-2024","WOAH Non-Poultry","20"
"Charles Mix","South Dakota","12-17-2024","WOAH Poultry","1800"
"Monona","Iowa","12-17-2024","WOAH Non-Poultry","30"
"Lemhi","Idaho","12-17-2024","WOAH Non-Poultry","150"
"Charles Mix","South Dakota","12-17-2024","Commercial Turkey Meat Bird","74800"
"Lancaster","Nebraska","12-17-2024","WOAH Poultry","290"
"Bon Homme","South Dakota","12-17-2024","Commercial Turkey Meat Bird","48700"
"Stanislaus","California","12-17-2024","Commercial Turkey Meat Bird","33100"
"Sioux","Iowa","12-17-2024","Commercial Table Egg Layer","428600"
"Merced","California","12-16-2024","Commercial Table Egg Pullets","424700"
"Merced","California","12-16-2024","Commercial Turkey Meat Bird","53100"
"Sarpy","Nebraska","12-16-2024","WOAH Non-Poultry","30"
"Flathead","Montana","12-16-2022","WOAH Non-Poultry","0"
"Duval","Florida","12-16-2022","WOAH Non-Poultry","10"
"Weld","Colorado","12-16-2022","Commercial Table Egg Layer","1291000"
"Butte","California","12-16-2022","WOAH Non-Poultry","20"
"Waseca","Minnesota","12-15-2023","WOAH Non-Poultry","90"
"Latah","Idaho","12-15-2023","WOAH Poultry","200"
"Polk","Oregon","12-15-2022","WOAH Non-Poultry","20"
